Group,Year,OccRm
Formula,1025,41
Formula,1026,41.14771342
Formula,1027,41.29595902
Formula,1028,41.44473871
Formula,1029,41.59405442
Formula,1030,41.74390808
Formula,1031,41.89430163
Formula,1032,42.04523701
Formula,1033,42.19671618
Formula,1034,42.34874109
Formula,1035,42.50131371
Formula,1036,42.65443601
Formula,1037,42.80810998
Formula,1038,42.9623376
Formula,1039,43.11712086
Formula,1040,43.27246178
Formula,1041,43.42836235
Formula,1042,43.58482459
Formula,1043,43.74185053
Formula,1044,43.8994422
Formula,1045,44.05760163
Formula,1046,44.21633088
Formula,1047,44.37563199
Formula,1048,44.53550702
Formula,1049,44.69595805
Formula,1050,44.85698714
Formula,1051,45.01859639
Formula,1052,45.18078787
Formula,1053,45.3435637
Formula,1054,45.50692596
Formula,1055,45.67087679
Formula,1056,45.83541828
Formula,1057,46.00055259
Formula,1058,46.16628183
Formula,1059,46.33260816
Formula,1060,46.49953372
Formula,1061,46.66706068
Formula,1062,46.83519119
Formula,1063,47.00392745
Formula,1064,47.17327162
Formula,1065,47.34322589
Formula,1066,47.51379247
Formula,1067,47.68497357
Formula,1068,47.85677139
Formula,1069,48.02918815
Formula,1070,48.2022261
Formula,1071,48.37588746
Formula,1072,48.55017448
Formula,1073,48.72508941
Formula,1074,48.90063453
Formula,1075,49.07681209
Formula,1076,49.25362438
Formula,1077,49.43107368
Formula,1078,49.60916229
Formula,1079,49.78789251
Formula,1080,49.96726665
Formula,1081,50.14728704
Formula,1082,50.327956
Formula,1083,50.50927587
Formula,1084,50.69124899
Formula,1085,50.87387772
Formula,1086,51.05716441
Formula,1087,51.24111145
Formula,1088,51.09427539
Formula,1089,50.85963331
Formula,1090,50.62606879
Formula,1091,50.39357687
Formula,1092,50.16215264
Formula,1093,49.93179118
Formula,1094,49.70248761
Formula,1095,49.47423709
Formula,1096,49.24703477
Formula,1097,49.02087584
Formula,1098,48.79575551
Formula,1099,48.57166901
Formula,1100,48.34861158
Formula,1101,48.12657851
Formula,1102,47.90556509
Formula,1103,47.68556664
Formula,1104,47.4665785
Formula,1105,47.24859602
Formula,1106,47.0316146
Formula,1107,46.81562962
Formula,1108,46.60063652
Formula,1109,46.38663074
Formula,1110,46.17360774
Formula,1111,45.96156302
Formula,1112,45.75049208
Formula,1113,45.54039045
Formula,1114,45.33125368
Formula,1115,45.12307733
Formula,1116,44.915857
Formula,1117,44.70958829
Formula,1118,44.50426684
Formula,1119,44.29988829
Formula,1120,44.09644832
Formula,1121,43.89394262
Formula,1122,43.69236688
Formula,1123,43.49171686
Formula,1124,43.29198828
Formula,1125,43.09317692
Formula,1126,42.89527858
Formula,1127,42.69828904
Formula,1128,42.50220415
Formula,1129,42.30701975
Formula,1130,42.1127317
Formula,1131,41.91933589
Formula,1132,41.72682822
Formula,1133,41.5352046
Formula,1134,41.34446099
Formula,1135,41.15459333
Formula,1136,40.96559761
Formula,1137,40.77746982
Formula,1138,40.59020598
Formula,1139,40.40380211
Formula,1140,40.21825428
Formula,1141,40.03355854
Formula,1142,39.84971099
Formula,1143,39.66670773
Formula,1144,39.48454488
Formula,1145,39.30321858
Formula,1146,39.122725
Formula,1147,38.9430603
Formula,1148,38.76422068
Formula,1149,38.58620236
Formula,1150,38.40900155
Formula,1151,39.39841147
Formula,1152,40.31778769
Formula,1153,41.25861789
Formula,1154,42.2214027
Formula,1155,43.20665445
Formula,1156,44.21489741
Formula,1157,45.24666808
Formula,1158,46.30251549
Formula,1159,47.38300148
Formula,1160,48.48870101
Formula,1161,49.62020244
Formula,1162,50.77810786
Formula,1163,51.96303343
Formula,1164,53.17560966
Formula,1165,54.4164818
Formula,1166,55.68631015
Formula,1167,56.98577039
Formula,1168,58.31555402
Formula,1169,59.67636862
Formula,1170,61.06893833
Formula,1171,62.49400416
Formula,1172,63.95232442
Formula,1173,65.44467511
Formula,1174,66.97185034
Formula,1175,68.53466276
Formula,1176,70.13394398
Formula,1177,71.770545
Formula,1178,73.4453367
Formula,1179,75.15921028
Formula,1180,76.91307771
Formula,1181,78.70787228
Formula,1182,80.54454903
Formula,1183,82.4240853
Formula,1184,84.34748123
Formula,1185,86.3157603
Formula,1186,88.32996988
Formula,1187,90.39118177
Formula,1188,92.50049278
Formula,1189,94.65902534
Formula,1190,96.86792803
Formula,1191,99.12837627
Formula,1192,101.4415729
Formula,1193,103.8087488
Formula,1194,106.2311636
Formula,1195,108.7101063
Formula,1196,111.2468961
Formula,1197,113.8428828
Formula,1198,116.4994477
Formula,1199,119.2180046
Formula,1200,122
Formula,1201,124.1052838
Formula,1202,126.2468972
Formula,1203,128.4254673
Formula,1204,130.6416317
Formula,1205,132.8960391
Formula,1206,135.1893496
Formula,1207,137.5222344
Formula,1208,139.8953764
Formula,1209,142.3094704
Formula,1210,144.7652231
Formula,1211,147.2633532
Formula,1212,149.8045921
Formula,1213,152.3896838
Formula,1214,155.0193848
Formula,1215,157.6944652
Formula,1216,160.4157078
Formula,1217,163.1839093
Formula,1218,165.9998801
Formula,1219,168.8644445
Formula,1220,171.7784411
Formula,1221,174.7427228
Formula,1222,177.7581574
Formula,1223,180.8256276
Formula,1224,183.9460314
Formula,1225,187.1202822
Formula,1226,190.3493092
Formula,1227,193.6340577
Formula,1228,196.9754892
Formula,1229,200.3745818
Formula,1230,203.8323307
Formula,1231,207.3497479
Formula,1232,210.9278631
Formula,1233,214.5677239
Formula,1234,218.2703956
Formula,1235,222.0369622
Formula,1236,225.8685263
Formula,1237,229.7662094
Formula,1238,233.7311527
Formula,1239,237.7645167
Formula,1240,241.8674821
Formula,1241,246.04125
Formula,1242,250.2870423
Formula,1243,254.6061017
Formula,1244,258.9996927
Formula,1245,263.4691013
Formula,1246,268.015636
Formula,1247,272.6406276
Formula,1248,277.34543
Formula,1249,282.1314204
Formula,1250,287
Simulated,1000,27
Simulated,1001,27
Simulated,1002,27
Simulated,1003,28
Simulated,1004,28
Simulated,1005,28
Simulated,1006,28
Simulated,1007,29
Simulated,1008,29
Simulated,1009,29
Simulated,1010,29
Simulated,1011,30
Simulated,1012,30
Simulated,1013,30
Simulated,1014,31
Simulated,1015,31
Simulated,1016,31
Simulated,1017,31
Simulated,1018,32
Simulated,1019,32
Simulated,1020,32
Simulated,1021,32
Simulated,1022,33
Simulated,1023,33
Simulated,1024,33
Simulated,1025,34
Simulated,1026,34
Simulated,1027,34
Simulated,1028,34
Simulated,1029,35
Simulated,1030,35
Simulated,1031,35
Simulated,1032,36
Simulated,1033,36
Simulated,1034,36
Simulated,1035,37
Simulated,1036,37
Simulated,1037,37
Simulated,1038,38
Simulated,1039,38
Simulated,1040,38
Simulated,1041,39
Simulated,1042,39
Simulated,1043,39
Simulated,1044,40
Simulated,1045,40
Simulated,1046,40
Simulated,1047,41
Simulated,1048,41
Simulated,1049,41
Simulated,1050,42
Simulated,1051,42
Simulated,1052,42
Simulated,1053,42
Simulated,1054,43
Simulated,1055,43
Simulated,1056,43
Simulated,1057,43
Simulated,1058,44
Simulated,1059,44
Simulated,1060,44
Simulated,1061,44
Simulated,1062,45
Simulated,1063,45
Simulated,1064,45
Simulated,1065,45
Simulated,1066,45
Simulated,1067,46
Simulated,1068,46
Simulated,1069,46
Simulated,1070,46
Simulated,1071,47
Simulated,1072,47
Simulated,1073,47
Simulated,1074,47
Simulated,1075,48
Simulated,1076,48
Simulated,1077,48
Simulated,1078,48
Simulated,1079,49
Simulated,1080,49
Simulated,1081,49
Simulated,1082,49
Simulated,1083,50
Simulated,1084,50
Simulated,1085,50
Simulated,1086,51
Simulated,1087,51
Simulated,1088,51
Simulated,1089,51
Simulated,1090,52
Simulated,1091,52
Simulated,1092,52
Simulated,1093,52
Simulated,1094,53
Simulated,1095,53
Simulated,1096,53
Simulated,1097,54
Simulated,1098,54
Simulated,1099,54
Simulated,1100,54
Simulated,1101,55
Simulated,1102,55
Simulated,1103,55
Simulated,1104,56
Simulated,1105,56
Simulated,1106,56
Simulated,1107,56
Simulated,1108,57
Simulated,1109,57
Simulated,1110,57
Simulated,1111,58
Simulated,1112,58
Simulated,1113,58
Simulated,1114,59
Simulated,1115,59
Simulated,1116,59
Simulated,1117,59
Simulated,1118,60
Simulated,1119,60
Simulated,1120,60
Simulated,1121,61
Simulated,1122,61
Simulated,1123,61
Simulated,1124,62
Simulated,1125,62
Simulated,1126,61
Simulated,1127,60
Simulated,1128,58
Simulated,1129,57
Simulated,1130,56
Simulated,1131,55
Simulated,1132,54
Simulated,1133,53
Simulated,1134,52
Simulated,1135,51
Simulated,1136,50
Simulated,1137,49
Simulated,1138,48
Simulated,1139,47
Simulated,1140,46
Simulated,1141,45
Simulated,1142,44
Simulated,1143,43
Simulated,1144,42
Simulated,1145,42
Simulated,1146,41
Simulated,1147,40
Simulated,1148,39
Simulated,1149,38
Simulated,1150,38
Simulated,1151,37
Simulated,1152,36
Simulated,1153,36
Simulated,1154,35
Simulated,1155,34
Simulated,1156,33
Simulated,1157,33
Simulated,1158,32
Simulated,1159,32
Simulated,1160,31
Simulated,1161,30
Simulated,1162,30
Simulated,1163,29
Simulated,1164,29
Simulated,1165,28
Simulated,1166,27
Simulated,1167,27
Simulated,1168,26
Simulated,1169,26
Simulated,1170,25
Simulated,1171,25
Simulated,1172,24
Simulated,1173,24
Simulated,1174,23
Simulated,1175,23
Simulated,1176,24
Simulated,1177,26
Simulated,1178,27
Simulated,1179,29
Simulated,1180,30
Simulated,1181,32
Simulated,1182,34
Simulated,1183,36
Simulated,1184,38
Simulated,1185,40
Simulated,1186,43
Simulated,1187,45
Simulated,1188,48
Simulated,1189,51
Simulated,1190,54
Simulated,1191,57
Simulated,1192,60
Simulated,1193,63
Simulated,1194,67
Simulated,1195,71
Simulated,1196,75
Simulated,1197,79
Simulated,1198,84
Simulated,1199,89
Simulated,1200,94
Simulated,1201,100
Simulated,1202,105
Simulated,1203,112
Simulated,1204,118
Simulated,1205,125
Simulated,1206,132
Simulated,1207,140
Simulated,1208,148
Simulated,1209,157
Simulated,1210,166
Simulated,1211,175
Simulated,1212,185
Simulated,1213,196
Simulated,1214,208
Simulated,1215,220
Simulated,1216,232
Simulated,1217,246
Simulated,1218,260
Simulated,1219,275
Simulated,1220,291
Simulated,1221,308
Simulated,1222,326
Simulated,1223,345
Simulated,1224,365
Simulated,1225,387
Simulated,1226,377
Simulated,1227,368
Simulated,1228,359
Simulated,1229,350
Simulated,1230,342
Simulated,1231,334
Simulated,1232,326
Simulated,1233,318
Simulated,1234,310
Simulated,1235,303
Simulated,1236,295
Simulated,1237,288
Simulated,1238,281
Simulated,1239,274
Simulated,1240,268
Simulated,1241,261
Simulated,1242,255
Simulated,1243,249
Simulated,1244,243
Simulated,1245,237
Simulated,1246,231
Simulated,1247,226
Simulated,1248,220
Simulated,1249,215
Simulated,1250,210
Simulated,1251,205
Simulated,1252,200
Simulated,1253,195
Simulated,1254,190
Simulated,1255,185
Simulated,1256,181
Simulated,1257,177
Simulated,1258,172
Simulated,1259,168
Simulated,1260,164
Simulated,1261,160
Simulated,1262,156
Simulated,1263,152
Simulated,1264,149
Simulated,1265,145
Simulated,1266,142
Simulated,1267,138
Simulated,1268,135
Simulated,1269,132
Simulated,1270,128
Simulated,1271,125
Simulated,1272,122
Simulated,1273,119
Simulated,1274,116
Simulated,1275,114
